local_id,name,time_created,priority,category,description,escalate_time,time_completed
32,organise laptop,2022-10-16 22:36:07,4,admin,,2023-01-18 00:00:00,2022-10-25 16:00:05
49,shave,2022-10-26 00:01:42,1,cleaning,,2022-10-27 00:00:00,2022-10-26 14:24:27
22,compsec - ass5,2022-10-16 22:22:55,3,homework,,2022-11-10 00:00:00,2022-10-26 23:56:19
20,sort home directory,2022-10-25 23:53:32,2,admin,,2022-10-31 00:00:00,2022-10-27 16:01:58
2,file expenses,2022-10-16 21:21:35,0,admin,pltr,,2022-10-27 16:19:04
7,smoothie ingredients,2022-10-18 12:24:55,0,shopping,"milk, bananas, berries",,2022-10-27 16:19:21
18,cauliflower fried rice,2022-10-25 23:52:49,2,cooking,,2022-10-31 00:00:00,2022-10-27 16:40:44
6,vacuum rooms,2022-10-16 22:22:03,0,cleaning,,,2022-10-28 13:36:21
2,capstone 26-oct,2022-10-25 13:16:06,0,homework,,,2022-10-28 13:36:37
15,ramen w/ nhi,2022-10-16 22:37:56,2,social,,2022-10-31 00:00:00,2022-10-28 13:43:52
19,matcha powder,2022-10-16 21:36:20,3,shopping,,2022-11-10 00:00:00,2022-10-28 14:23:22
35,cerave sunscreen/moist,2022-10-17 10:47:51,4,shopping,,2023-01-18 00:00:00,2022-10-28 14:23:23
49,12,2022-10-28 14:46:07,0,misc,,,2022-10-28 14:46:13
12,send money to niesen,2022-10-23 23:27:53,2,holiday,,2022-10-29 00:00:00,2022-10-28 14:46:23
1,book thailand accom,2022-10-16 21:52:38,0,holiday,,,2022-10-28 14:46:29
4,pick up camera,2022-10-27 16:02:16,0,misc,,,2022-10-28 14:46:44
1,respond to derek,2022-10-25 14:55:52,0,admin,,,2022-10-28 14:49:22
14,hcds reading ass,2022-10-27 16:24:41,2,homework,,2022-11-02 00:00:00,2022-10-28 18:57:06
1,laundry,2022-10-25 23:53:05,0,cleaning,,,2022-10-29 01:26:30
2,unpack + tidy up,2022-10-25 23:53:14,0,cleaning,,,2022-10-29 01:39:30
16,mop,2022-10-16 22:25:59,3,cleaning,,2022-11-10 00:00:00,2022-10-29 01:39:36
12,respond messages,2022-10-28 13:48:49,2,social,,2022-11-03 00:00:00,2022-10-29 16:34:22
22,github desktop cleanup,2022-10-25 14:48:08,3,admin,,2022-11-15 00:00:00,2022-10-29 16:43:37
